,Genomic resources,,,,,,,,,,,,
Coleoptera,Staphylinoidea,Staphylinidae,Oxytelinae,Oxytelini,Anotylus rugosus,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Steninae,-,Stenus bimaculatus*,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Paederinae,Lathrobiini (Lathrobiina),Lathrobium brunnipes,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Paederinae,Paederini (Paederina),Paederus littoralis,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Paederinae,Paederini (Paederina),Paederus cruenticollis*,Australia,Transcriptome,n/a,SAMN16403195 (NCBI),n/a,Australian National Insect Collection CSIRO,,
Coleoptera,Staphylinoidea,Staphylinidae,Xantholininae,Othiini,Othius punctulatus,Sweden,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Xantholininae,Diochini,Diochus sp.,Australia,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Staphylininae,Quediini,Quedius fuliginosus*,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
Coleoptera,Staphylinoidea,Staphylinidae,Staphylininae,Staphylinini (Philonthina),Philonthus decorus*,Denmark,Whole Genome Shotgun (WGS),n/a,NCBI - PRJNA673872,n/a,Natural History Museum of Denmark,,
,,,,,,,,,,,,,
,*Priority reference taxa used in the final selection of loci,,,,,,,,,,,,
